691515	9199495	8
691591	9198936	7
691467	9198396	8
691505	9197942	8
691457	9197473	8
691661	9196776	6
691302	9196381	7
691310	9196396	7
691576	9195738	6
691327	9194847	7
691767	9194273	10
691510	9193501	8
691313	9193143	8
691384	9192580	9
691281	9192045	9
691137	9191361	8
690926	9191140	8
690766	9190442	6
690615	9190094	4
691416	9190031	8
690755	9189325	7
690973	9188276	6
691271	9187986	5
691142	9187355	6
682724	9198172	6
682726	9198963	5
682703	9198662	3
682678	9198886	3
683427	9197764	7
683603	9197271	7
683414	9196682	16
683409	9196112	22
683424	9195595	24
683619	9195177	23
683322	9194553	31
683505	9193665	23
683537	9192844	18
683390	9193745	26
682519	9191687	7
682357	9191290	9
683152	9190272	14
683069	9189822	24
683614	9189643	13
683223	9188884	21
683329	9188297	20
683372	9187840	23
685684	9188949	14
686317	9188546	16
686618	9188190	12
685967	9197598	8
685984	9196935	9
686775	9199693	4
686889	9199021	4
685908	9198757	6
686005	9196253	10
685937	9195845	20
685877	9195430	27
685891	9195050	25
685807	9193871	26
685486	9193467	26
685864	9192743	22
685803	9192475	20
685803	9191977	15
685608	9191551	10
685621	9191038	7
685758	9190570	7
686036	9189836	5
685802	9189187	17
688958	9200493	4
689101	9199903	4
688950	9196351	7
688993	9195810	13
688800	9195269	19
688384	9195047	18
688848	9194415	23
688505	9193770	24
688652	9193363	25
688664	9192762	23
688785	9192163	9
688887	9191500	8
688649	9191210	9
688703	9190789	9
688656	9190413	8
688561	9189765	10
688603	9188957	9
688134	9188579	8
687762	9188365	10
693431	9189687	5
693593	9190160	6
693619	9190608	6
693534	9191097	6
693518	9191546	4
693578	9191964	5
693633	9192471	5
693622	9192976	6
693648	9193463	6
693654	9193979	6
693668	9194531	8
693687	9194995	8
693769	9195479	6
693760	9195987	6
693680	9196374	7
693597	9196850	4
693721	9197149	7
693796	9197396	5
693826	9197938	5
693719	9198348	5
693841	9198705	5
696173	9199332	4
696173	9198508	4
696377	9195053	6
696295	9196122	4
696289	9196470	3
696330	9196890	4
696442	9197437	2
696345	9197924	5
696387	9189393	5
696153	9189672	6
696203	9190024	6
696199	9190805	4
696354	9191196	5
696217	9191701	4
696325	9192722	4
696319	9193292	5
696419	9193722	7
696427	9194493	8
